"ORDER_ID";"ORDER_DATE";"ORDER_CHANNEL";"CUSTOMER_NAME";"CUSTOMER_TYPE";"WAREHOUSE_CODE";"SHIP_TO_PROVINCE";"ITEM_ID";"ORDER_QTY_UOM";"ORDER_QTY_PCS";"UNIT_SELLING_PRICE_CAD";"UNIT_SELLING_PRICE_USD";"ORDER_STATUS";"SHIPMENT_ID";"OUTBOUND_CARRIER";"OUTBOUND_SERVICE_LEVEL";"ORDER_SHIP_DATE";"ORDER_DELIVERY_DATE";"SHIPPED_QTY_PCS";"OUTBOUND_TRACKING_NUMBER";"FREIGHT_COST_CAD";"FREIGHT_COST_USD";"ITEM_DESCRIPTION";"ITEM_CATEGORY";"ITEM_BRAND";"UNITS_PER_CARTON";"UNIT_NET_WEIGHT";"UNIT_CBM";"AVERAGE_ITEM_COST_CAD";"AVERAGE_ITEM_COST_USD";"COUNTRY_OF_ORIGIN"
"SO-2025-000001";"2025-07-20";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0028";"Each";5;17.15;12.52;"Shipped";"OUT-000001";"UPS";"Ground";"2025-07-21";"2025-07-22";5;"UPS8245865663";15.67;11.44;"PureBaltic Sensitive Skin Face Cream";"Face Cream";"PureBaltic";24;0.055;0.00059;4.77;3.48;"Poland"
"SO-2025-000002";"2025-06-21";"B2C";"Ecommerce-CA";"Consumer";"TOR";"NS";"COS-0020";"Each";1;3.38;2.47;"Pending";"";"";"";"";"";0;"";0.0;0.0;"PureBaltic SPF 15 Face Wash";"Face Wash";"PureBaltic";24;0.34;0.000614;1.6;1.17;"Poland"
"SO-2025-000003";"2025-06-23";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0023";"Each";3;2.86;2.09;"Shipped";"OUT-000003";"FedEx";"Priority";"2025-06-23";"2025-06-28";3;"FED3650251330";15.58;11.37;"Vistula Beauty Vitamin C Face Cream";"Face Cream";"Vistula Beauty";24;0.176;0.000203;1.43;1.04;"Poland"
"SO-2025-000004";"2025-08-19";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0015";"Each";4;8.25;6.02;"Shipped";"OUT-000004";"FedEx";"Priority";"2025-08-21";"2025-08-26";4;"FED8113930097";11.79;8.61;"ArcticAura SPF 15 Face Wash";"Face Wash";"ArcticAura";12;0.161;0.000618;3.21;2.34;"Poland"
"SO-2025-000005";"2025-08-15";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0023";"Each";4;2.61;1.91;"Shipped";"OUT-000005";"Canada Post";"Express";"2025-08-17";"2025-08-19";4;"CAN8466064996";14.26;10.41;"Vistula Beauty Vitamin C Face Cream";"Face Cream";"Vistula Beauty";24;0.176;0.000203;1.43;1.04;"Poland"
"SO-2025-000006";"2025-07-26";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0010";"Each";3;13.52;9.87;"Shipped";"OUT-000006";"Purolator";"Ground";"2025-07-28";"2025-07-29";3;"PUR7614599566";7.66;5.59;"LumiCare Hyaluronic Face Wash";"Face Wash";"LumiCare";6;0.289;0.00105;5.58;4.07;"Poland"
"SO-2025-000007";"2025-07-26";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0024";"Each";4;3.41;2.49;"Shipped";"OUT-000007";"UPS";"Ground";"2025-07-26";"2025-07-30";4;"UPS4360290324";8.38;6.12;"NordGlow Vanilla Lip Balm";"Lip Balm";"NordGlow";6;0.257;0.000792;1.31;0.96;"Poland"
"SO-2025-000008";"2025-05-31";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0013";"Each";1;4.14;3.02;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"ArcticAura Hydrating Face Wash";"Face Wash";"ArcticAura";12;0.328;0.001045;1.32;0.96;"Poland"
"SO-2025-000009";"2025-06-26";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0024";"Each";2;3.51;2.56;"Pending";"";"";"";"";"";0;"";0.0;0.0;"NordGlow Vanilla Lip Balm";"Lip Balm";"NordGlow";6;0.257;0.000792;1.31;0.96;"Poland"
"SO-2025-000010";"2025-07-10";"B2C";"Ecommerce-CA";"Consumer";"VAN";"MB";"COS-0017";"Each";2;3.0;2.19;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"LumiCare SPF 15 Face Wash";"Face Wash";"LumiCare";36;0.257;0.001179;1.5;1.1;"Poland"
